Name,Ticker,"Sub-Sector","Market Cap","Debt to Equity","Long Term Debt to Equity","Cash Conversion Cycle","Quick Ratio","Current Ratio","Interest Coverage Ratio","Working Capital Turnover Ratio","Net Income / Liabilities","Earning Power"
Hindustan Adhesives Ltd,HINDADH,"Packaging","194.8542855","90.83102127097371","23.094200026423568",,"0.5612479474548441","0.9721948549534757","5.15399239543727","-265.9393939393937","14.509422277271556","14.365197117422657"
Kifs Financial Services Ltd,KIFS,"Specialized Finance","194.724","485.4141894569956","483.65041617122466",,"2.2942779291553133","2.2942779291553133",,"33.68231046931408","2.8322526751262984","3.226768262381978"
HCP Plastene Bulkpack Ltd,HPBL,"Paper & Plastic Packaging Products & Materials","194.60227851","191.37449581135584","128.374185541421",,"1.0215713437561844","1.561844448842272","1.0170502983802232","14.015094339622642",,"5.953093812375257"
Gujarat Intrux Ltd,GUJINTRX,"Iron & Steel","194.163156","0","0",,"6.201470588235294","8.288235294117646","254.50000000000003","1.251546831662044","85.63151796060262","14.41313889282175"
Rajputana Industries Ltd,RAJINDLTD,"Metals - Copper","194.048025","90.14430457476209","58.642922935216475",,"0.19795440017046662","1.08203707649691","1.783599088838266","46.35294117647064","4.386414063833397","10.457429048414006"
RSD Finance Ltd,RSDFIN,"Diversified Financials","193.873538","11.404380318804268","11.296384293058015",,"1.0807743658210949","2.079439252336449",,"8.40272006044579","31.817148055492478","7.932186161330147"
Reliance Home Finance Ltd,RHFL,"Home Financing","193.538468382",,,,"1.6067312125403408","1.6067312125403408",,"-0.006577717980341589",,
Gujarat State Financial Corp,GUJSTATFIN,"Specialized Finance","193.110038",,,,"0.0005001028437299607","0.0005001028437299607",,"-0.008924031586921106",,
Aarey Drugs and Pharmaceuticals Ltd,AAREYDRUGS,"Pharmaceuticals","192.620844398","23.610483506552193","2.4250640156650096",,"1.4885312837756692","1.6967695448540887","2.2168949771689523","3.6847741522127135","2.7388422966395005","3.2015562662798023"
Priti International Ltd,PRITI,"Home Furnishing","192.2879232","0","0",,"3.214206437291898","3.95449500554939","76.47058823529412","4.284789644012945","104.59518599562362","23.779037863544904"
