Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
Sai Silks (Kalamandir) Ltd,KALAMANDIR,"Textiles","2703.282494582","19.117417542670704","16.20685278896553","2.85913813867825","60.8028323753816","-1.0932538995316001","0.4501098652093347","-0.4618666997309031","0","-1.2983793968774542","-0.709554402735332","-1.7284307239920116","0","0","9.427418359539558"
PSP Projects Ltd,PSPPROJECT,"Construction & Engineering","2701.3898476950003","10.496016691072308","10.143300538565475","7.023532312150074","60.135292575454024","7.9520088718988085","8.201628316343253","4.7124628677056295","-6.08333798010154","5.917877802183418","5.439783357738975","3.725615645483408","-6.08333798010154","0","10.487142218170717"
Indian Hume Pipe Company Ltd,INDIANHUME,"Water Management","2700.73093905","2.236445358612666","2.0925720605059395","0.914654158354968","72.33881853248288","0","0","0.46130568505955666","0","0","0","0.23317743500265853","0","0","18.249905043053793"
Insecticides (India) Ltd,INSECTICID,"Fertilizers & Agro Chemicals","2691.92327515","9.092546188425864","8.787804325025508","4.355463542825781","72.15866821619431","0","0","0.03967181791020735","0","-0.06384926033615201","-0.04160777018942241","-0.06214643320050772","0","0","9.159946383919879"
Vertoz Ltd,VERTOZ,"Advertising","2689.0065","0","0","11.413727922499852","64.47314785279697",,"0",,"26.954238559530417",,"0","-12.135275972881338",,"0","2.315659519168291"
Pondy Oxides and Chemicals Ltd,POCL,"Commodity Chemicals","2688.35842803","0.13573709812356513","0","0.534948502435168","43.63867091577014","0","0","0.5135288708861871","-1.5038975005741193","0.13573709812356513","-0.02091133075003465","0.5275544805693537","-1.5038975005741193","0","33.56613371685717"
Accelya Solutions India Ltd,ACCELYA,"Software Services","2684.1895156299997","0.6518042261220006","0.2730690559410692","0.2754072168508912","74.65563546021338","0.005855451676746115","0.1304948372536163","-0.10951838507982675","0","0.005299384755498959","0.20092104780962888","0.006498613416983656","0","0.37815230485384116","13.59273430901416"
Krsnaa Diagnostics Ltd,KRSNAA,"Hospitals & Diagnostic Centres","2682.95640767","15.264249539397362","11.913571493231462","3.329225426646829","27.168598295379248","0.8651906178438047","0.02296393442095024","-0.011805599192536764","0.13936305447642638","-0.10593450314268438","-1.3200747246116364","-0.10665299711242815","0.13936305447642638","2.860175839630659","19.118474173997498"
RIR Power Electronics Ltd,RIR,"Electronic Equipments","2678.4767944","0.02392201423359847","0","5.4504134702687415","64.55496898293381","0","0","5.4360399543342615","-5.174233976860592","-0.0013753738110859198","-0.0013753738110859198","5.4504134702687415","-4.444576813962655","0","21.37832937351507"
Goodyear India Ltd,GOODYEAR,"Tires & Rubber","2678.367460305","8.149651787329569","6.752730268176278","0.7436669973481463","73.99999921964778","0","-0.011579559922098248","-0.0020072393275670786","0","0","-0.01157955992209736","0.009377232538936187","0","1.2504667481730112","12.989829799544422"
