Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
HOV Services Ltd,HOVS,"Outsourced services","104.387127936","-52.38","11.01","4.81","1.05","35.69",,"19.81","0","12.15","22.85","0.7000000000000001","-1.35","12.839999999999995"
Hisar Metal Industries Ltd,HISARMETAL,"Building Products - Pipes","104.3658","54.78","4.34","1.48","80.64000000000001","169.79",,"138.59","0.54","86.12","60.18","19.81000000000001","15.49","109.60999999999999"
Cranex Ltd,CRANEX,"Construction Machinery & Heavy Transportation Equipment","104.31","5.02","1.47","2.14","27.07","55.459999999999994",,"43.22","0","37.07999999999999","11.02","6.52","-1.12","44.43999999999999"
SVC Industries Ltd,SVCIND,"Commodity Chemicals","104.217929928","-57.150000000000006","0.13","0","175.39000000000001","445.81",,"0.22999999999999998","0","0.48","269.61","175.39000000000001","-0.61","176.19999999999996"
AVSL Industries Ltd,AVSL,"Specialty Chemicals","104.16774","24.41","0.64","0","35.35","90.96",,"59.26","0","55.02","35.3","-4.440892098500626e-16","6.41","55.65999999999999"
Shilp Gravures Ltd,SHILGRAVQ,"Industrial Machinery","103.900871","90.8","32.77","0","4.01","114.5",,"55.35000000000001","1.29","12.14","96.95","0.6200000000000001","9.28","17.55"
Quicktouch Technologies Ltd,QUICKTOUCH,"Software Services","103.87575046","13.25","46.92","0","22.89","116.51000000000002",,"103.83000000000001","0","30.39","83.03","2.9800000000000004","-12.07","33.48000000000002"
Deepak Chemtex Ltd,DEEPAKCHEM,"Specialty Chemicals","103.80552","14.93","1","0","1.37","23.81",,"19.02","0","7.800000000000001","15.709999999999999","0.049999999999999996","3.44","8.100000000000001"
GSM Foils Ltd,GSMFOILS,"Metals - Aluminium","103.7743569","1.25","0.41","0","14.129999999999999","22.080000000000002",,"20.96","0","20.42","1.27","0.3900000000000008","-2.31","20.810000000000002"
BLB Ltd,BLBLIMITED,"Investment Banking & Brokerage","103.721636196","88.52","13.27","0.11","0.25","98.39999999999999",,"84.78999999999999","0","2.09","96.31","0","5.45","2.0899999999999856"
Candour Techtex Ltd,CANDOUR,"Industrial Machinery & Supplies & Components","103.689924086","5.609999999999999","6.84","0.37","38.410000000000004","73.72",,"16.45","0","17.77","27.630000000000003","28.240000000000002","-3.39","46.08999999999999"
Delta Manufacturing Ltd,DELTAMAGNT,"Industrial Machinery","103.67160048","5.300000000000001","3.13","0","39.85","95.16",,"44.49","0.04","59.28","26.860000000000003","3.770000000000003","1.61","68.3"
Adtech Systems Ltd,ADTECH,,"103.32795375","36.39","6.17","0","3.91","61.15",,"48.71","1.19","11.540000000000001","48.7","0","8.14","12.45"
Godavari Drugs Ltd,GODAVARI,"Pharmaceuticals","103.1301975","20.810000000000002","2.62","0","57.77","134.75",,"88.47","0","82.01","38.97","11.160000000000002","18.41","95.78000000000002"
Pulsar International Ltd,PULSRIN,"Asset Management","102.7367","3.31","0.06","0","0","12.589999999999998",,"12.489999999999998","0","1.58","11.010000000000002","0","-4.67","1.5799999999999965"
Global Pet Industries Ltd,GLOBALPET,"Industrial Machinery","102.57203584","4.120000000000001","11.16","0","0","34.57",,"28.060000000000002","0","9.54","24.44","0","-2","10.129999999999997"
Hrh Next Services Ltd,HRHNEXT,"Call Center Services","102.54857932","6.089999999999999","0.17","0.15","10.16","37.13",,"22.1","0","11.690000000000001","20.990000000000002","3.6499999999999995","-4.47","16.14"
KBS India Ltd,KBSINDIA,"Investment Banking & Brokerage","102.47665036000001","5.51","5.460000000000001","5.45","0","36.019999999999996",,"13.68","0","2.61","33.419999999999995","0","1.38","2.600000000000002"
Bhatia Colour Chem Ltd,BCCL,"Specialty Chemicals","102.45765625","6.710000000000001","15.15","0","19.839999999999996","102.33000000000001",,"100.93","0","20.25","62.61000000000001","19.27","17.55","39.72"
MKP Mobility Ltd,MKPMOB,,"102.2967897","1.4100000000000001","0.44","0","0.12","7.3",,"6.4799999999999995","0","0.95","6.300000000000001","0.04999999999999999","-3.55","0.9999999999999991"
HB Stockholdings Ltd,HBSL,"Investment Banking & Brokerage","102.23991346","72.35000000000001","16.35","68.78","0.83","109.55000000000001",,"24.01","0","5.61","103.11000000000001","0.83","33.28","6.44"
Dhanashree Electronics Ltd,DEL,"Electrical Components & Equipments","102.168","18.42","0.67","0.09","52.11","97.53999999999999",,"88.22999999999999","0","28.090000000000003","34.53","33.849999999999994","-15.06","63.009999999999984"
DSJ Keep Learning Ltd,KEEPLEARN,"Publishing","101.835702282","-48.3","0.02","0.16","3.16","5.52",,"3.22","0","2.04","0.3300000000000054","3.0300000000000002","1.17","5.189999999999994"
Archies Ltd,ARCHIES,"Retail - Speciality","101.81292","85.12","0.16","0","56.25","171.46",,"76.83","0","46.79","99.26","22.909999999999997","3.99","72.2"
Future Enterprises Ltd,FELDVR,"Conglomerates","101.72925322500001",,,,,,,,,,,,,
East West Freight Carriers Ltd,EASTWEST,"Investment Banking & Brokerage","101.677275","-1.8499999999999943","9.62","0.91","86.97999999999999","171.93",,"96.86","0","43.32000000000001","72.67","52.04999999999999","4.44","99.25999999999999"
Cadsys (India) Ltd,CADSYS,"IT Services & Consulting","101.508825","29.63","8.51","0.1","83.58","245.72000000000003",,"167.24","0","90.06","123.94999999999999","25.45","-36.79","121.77000000000004"
Sati Poly Plast Ltd,SATIPOLY,"Packaging","101.4135","4.069999999999999","2.92","0","22.4","56.379999999999995",,"40.69","0","26.630000000000003","12.3","17.049999999999997","7.36","44.07999999999999"
Titan Intech Ltd,TITANIN,"Electrical Components & Equipment","101.317804452","6.029999999999998","1.08","0","2.4","51.13",,"16.85","0","3.0100000000000002","46.26","1.8599999999999999","8.25","4.870000000000007"
Auro Impex & Chemicals Ltd,AUROIMPEX,"Metals - Diversified","101.205636","14.569999999999999","11.04","0","35.14","90.82",,"73.52","0","36.5","41.78","9.46","0.95","49.03999999999999"
Archit Organosys Ltd,ARCHITORG,"Commodity Chemicals","100.96195716","25.080000000000002","4.22","5.87","26.44","108.23",,"41.480000000000004","0.99","34.260000000000005","64.15","8.27","10.1","44.07999999999999"
Kesar Terminals & Infrastructure Ltd,KTIL,"Oil & Gas - Storage & Transportation","100.687467125","-101.93","3.39","0","80.82","200.20000000000005",,"11.16","0.02","241.51999999999998","-96.47000000000001","54.35","10.65","296.6700000000001"
Comrade Appliances Ltd,COMRADE,"Household Appliances","100.65998915","1.6400000000000006","0.68","0","13.93","39.91",,"33.07","0","20.68","16.93","1.8100000000000005","-5.99","22.979999999999997"
Dutron Polymers Ltd,DUTRON,"Building Products - Pipes","100.59","17.43","0.66","0","6.25","36.26",,"23.27","0.84","2.01","26.43","6.25","4.95","9.83"
Pritish Nandy Communications Ltd,PNC,"Movies & TV Serials","100.473315","-9.510000000000005","0.23","0","1.7799999999999998","92.28999999999999",,"64.89999999999999","0","7.970000000000002","72.16","1.13","-2.12","20.129999999999995"
Travels & Rentals Ltd,TRAVELS,,"100.30884148999999","2.9599999999999995","0.42","0.59","4.710000000000001","24.700000000000003",,"17.12","0","7.1899999999999995","14.78","2.6300000000000003","-2.42","9.920000000000003"
Kothari Industrial Corp Ltd,KOTIC,"Fertilizers & Agro Chemicals","100.219484715","1.55","1.16","0","33.31","51.53",,"11.57","0","43.24","7.79","0.22000000000000003","-35.07","43.74"
Madhav Copper Ltd,MCL,"Metals - Copper","100.1840748","4.02","0.27","0.02","13.18","64.08",,"50.62","0","19.599999999999998","41.019999999999996","3.21","-1.31","23.060000000000006"
One Global Service Provider Ltd,ONEGLOBAL,,"100.140845165","7.3","1.23","0","0.34","31.81",,"28.16","0","17.07","14.399999999999999","0.34","1.21","17.41"
Goel Food Products Ltd,GOEL,"Restaurants","100.066416","13.46","3.51","0","29.619999999999997","58.42",,"12.850000000000001","0","8.24","22.200000000000003","26.32","6.78","36.22"
Presstonic Engineering Ltd,PRESSTONIC,"Locomotive Engines & Rolling Stock","100.004553","2.959999999999999","11.21","0","14.15","40.919999999999995",,"32.239999999999995","0","14.479999999999999","24.82","1.6100000000000005","-1.37","16.09999999999999"
Yamini Investments Company Ltd,YAMNINV,"Asset Management & Custody Banks","99.888016","2.0500000000000007","0.25","32.25","0","69.57",,"37.29","0","1.88","67.7","0","8.45","1.8699999999999948"
Scoobee Day Garments (India) Ltd,SCOOBEEDAY,,"99.7245","-10.28","0.09","0","52.46","58.03",,"8.45","0","41.629999999999995","3.2200000000000006","12.88","10.62","54.81"
Ahmedabad Steel Craft Ltd,AHMDSTE,"Commodities Trading","99.66066","18.669999999999998","1.8","13.68","0","25.939999999999998",,"5.6","0","0.52","24.949999999999996","0","-1.9","0.9900000000000015"
Capfin India Ltd,CAPFIN,,"99.2475315","-0.27","0.06","0.55","0","2.5900000000000003",,"0.25","0","0","2.59","0","-0.97","4.440892098500626e-16"
Celebrity Fashions Ltd,CELEBRITY,"Apparel & Accessories","99.192337796","-32.23","3.58","0","62.13999999999999","142.63",,"104.69","0","88.11","38.99","15.339999999999998","29.08","103.64"
Crop Life Science Ltd,CLSL,"Agro Products","99.1549","34.620000000000005","2.39","0","35.4","179.85999999999999",,"139.98","0","92.9","75.92","9.02","-8.33","103.93999999999998"
Kontor Space Ltd,KONTOR,"Business Support Services","98.9418","1.9000000000000004","7.59","0","5.11","31.05",,"13.34","0","4","22.019999999999996","4.65","0.32","9.030000000000005"
Nilachal Refractories Ltd,NILACHAL,"Cement","98.81411685","-33.29","0.08","0","14.22","49.95",,"8.709999999999999","0","20.810000000000002","28.939999999999998","0","-0.3","21.01000000000001"
Mukesh Babu Financial Services Ltd,MUKESHB,"Diversified Financials","98.777653","270.09","9.83","111.35","29.52","392.49",,"240.72000000000003","0.84","7.330000000000005","302.42999999999995","29.52","-3.49","90.06000000000006"
Vasundhara Rasayans Ltd,VRL,"Pharmaceuticals","98.174598","23.64","7.74","0","4.02","34.519999999999996",,"33.519999999999996","0.32","7.67","26.82","0","-6.5","7.699999999999993"
Alstone Textiles (India) Ltd,ALSTONE,"Textiles","98.1596","25.32","0.04","384.17","500","656.77",,"0.04","0","503.97","152.8","0","3.16","503.97"
Chowgule Steamships Ltd,CHOWGULSTM,"Logistics","97.996439075","-22.29","12.31","0","0","52.68",,"15.82","0","4.42","43.24","0","2.21","9.439999999999998"
Lykis Ltd,LYKISLTD,"FMCG - Personal Products","97.515155115","-0.15000000000000036","7.02","0.83","88.77","141.25",,"133","0","105.77000000000001","31.490000000000002","3.6299999999999994","66.32","109.76"
Mefcom Capital Markets Ltd,MEFCOMCAP,"Investment Banking & Brokerage","96.79437912","2.2399999999999984","0.71","5.06","0.62","25.28",,"19.610000000000003","0","0.99","23.970000000000002","0","2.57","1.3099999999999985"
Tulive Developers Ltd,TULIVE,"Real Estate","96.68835","46.92","18.1","0.07","0","49.099999999999994",,"19.41","0","0.02","49.07","0","9.52","0.029999999999990905"
Vasudhagama Enterprises Ltd,VASUDHAGAM,,"96.517573712","3.4700000000000024","0.14","34.49","1.22","46.22",,"4.06","0","4.51","41.650000000000006","0","-0.01","4.569999999999992"
Debock Industries Ltd,DIL,"Agricultural & Farm Machinery","96.502516195","14.21","0.44","0","0","237.2",,"76.05","0","22.27","214.74","0","-106.66","22.459999999999972"
Ambo Agritec Ltd,AMBOAGRI,"Packaged Foods & Meats","96.3943416","2.540000000000001","0.13","0.8","14.72","41.3",,"35.519999999999996","0","19.15","18.28","2.3599999999999985","1.36","23.019999999999996"
LIC MF Nifty 8-13 yr G-Sec ETF,LICNETFGSC,"Debt","96.08053938",,,,,,,,,,,,,
Porwal Auto Components Ltd,PORWAL,"Auto Parts","95.7038","15.059999999999995","0.12","14.78","5.88","84.81",,"25.33","0","21.94","62.76","0.10999999999999947","8.85","22.05"
Remi Edelstahl Tubulars Ltd,REMIEDEL,"Iron & Steel","95.4809856","23.919999999999995","1.4","0.06","21.240000000000002","84.77",,"62.05","0","28.34","52.459999999999994","1.4599999999999995","-4.14","32.309999999999995"
Veeram Securities Ltd,VSL,"Precious Metals, Jewellery & Watches","95.38311437200001","6.93","0.28","0","0","23",,"11.999999999999998","0","0.93","22.060000000000002","0","-0.12","0.9399999999999981"
Aplab Ltd,APLAB,"Electronic Equipments","95.1522","-40.51","1.91","0.02","25.97","71.33",,"55.059999999999995","0","52.730000000000004","10.130000000000003","0","-3.38","61.199999999999996"
IDBI Gold Exchange Traded Fund,LICMFGOLD,"Gold","95.11848704",,,,,,,,,,,,,
Riddhi Corporate Services Ltd,RIDDHICORP,"IT Services & Consulting","94.793596","31.770000000000003","2.71","36.42","110.08","195.52",,"52.85","0.58","49.47","56","83.28","5.25","139.52"
Aimco Pesticides Ltd,AIMCOPEST,"Fertilizers & Agro Chemicals","94.77105357","11.98","3.84","0","19.36","149.62",,"109.38","1.11","109.47","35.019999999999996","2.529999999999999","7.1","114.6"
Bombay Metrics Supply Chain Ltd,BMETRICS,"Logistics","94.7248296","8.81","0.65","0","3.16","45.54",,"35.41","0.25","28.42","14.97","2.06","2.86","30.569999999999997"
TPI India Ltd,TPINDIA,"Packaging","94.60556094","-21.299999999999997","0.06","0.09","12.54","6.890000000000001",,"3.8400000000000003","0","12.400000000000002","-15.009999999999998","9.459999999999999","10.63","21.9"
Sakthi Finance Ltd,SAKTHIFIN,"Consumer Finance","94.5","139.35999999999999","100.01","13.9","1175.4800000000002","1424.96",,"134.36","4.53","83.75","218.36999999999998","1122.8400000000001","-27.99","1206.5900000000001"
Sunil Healthcare Ltd,SUNLOC,"Pharmaceuticals","94.3437","57.96","3.61","0","64.82","158.51",,"62.49","0","57.28999999999999","69.56","18.94","-15.4","88.94999999999999"
Daikaffil Chemicals India Ltd,DAIKAFFI,"Specialty Chemicals","94.29","4.2","8.2","0.19","0","12.159999999999998",,"10.009999999999998","0","1.6099999999999999","10.54","0","5.92","1.6199999999999997"
Ceejay Finance Ltd,CEEJAY,"Consumer Finance","94.16775","66.07","1.53","0","33.08","105.55",,"4.33","0.34","19.529999999999998","69.52","16.5","-4.14","36.03"
Restile Ceramics Ltd,RESTILE,"Building Products - Ceramics","94.151510962","-128.99","0.58","0","39.11","8.76",,"2.89","0","39.44","-30.710000000000008","0","-0.43","39.470000000000006"
SecMark Consultancy Ltd,SECMARK,"IT Services & Consulting","94.1451095","-2.1499999999999995","10.81","0.21","11.06","31.310000000000002",,"13.330000000000002","0","15.01","16","0","4.14","15.31"
Prolife Industries Ltd,PROLIFE,"Commodity Chemicals","94.1228992","33.79","21.57","1.21","3.81","51.93",,"32.69","0.12","6.6","40.989999999999995","3.81","17.33","10.940000000000003"
Kay Power and Paper Ltd,KAYPOWR,"Paper Products","94.01504","-7.2","0.2","0","27.25","35.08",,"5.37","0","4.37","3.4699999999999998","27.25","9.31","31.609999999999996"
Gujarat Poly Electronics Ltd,GUJARATPOLY,"Electronic Components","93.99015","0.71","2.1","9.92","10.23","21.58",,"9.33","0","11.36","9.260000000000002","0.3800000000000008","2.4","12.319999999999999"
Tayo Rolls Ltd,TATAYODOGA,"Iron & Steel","93.76442403","-553.12","0.01","0","95.33","43.07999999999999",,"16.05","0","197.55","-154.46999999999997","0","0","197.54999999999995"
Silgo Retail Ltd,SILGO,"Precious Metals, Jewellery & Watches","93.297869288","13.250000000000004","8.62","0","6.79","63.339999999999996",,"63.11","0","9.09","54.09","0","1.56","9.249999999999993"
Shree Krishna Infrastructure Ltd,SKIFL,"Real Estate","93.17","0.14","0.46","0.9","0","11.51",,"0.7900000000000001","0","0.02","11.500000000000002","0","-0.54","0.009999999999998437"
Welcast Steels Ltd,ZWELCAST,"Metals - Diversified","92.9800577","39.190000000000005","22.47","0","0","49.82000000000001",,"42.650000000000006","0.16","9.06","40.31","0","3.91","9.510000000000005"
CMX Holdings Ltd,SIELFNS,"Specialized Finance","92.90532888","-16.75","0.01","0","5.44","0.08",,"0.02","0","1.85","-5.43","3.66","-0.1","5.51"
Minal Industries Ltd,MINALIND,"Precious Metals, Jewellery & Watches","92.8799146","4.720000000000001","0.46","0","11.83","84.24000000000001",,"75.84","0","21.25","61.42","0.91","-2.56","22.820000000000007"
Sharika Enterprises Ltd,SHARIKA,"Construction & Engineering","92.8352","2.06","1.59","0","14.34","50.66",,"42.239999999999995","0","20.91","23.709999999999997","5.5","4.74","26.95"
Baba Food Processing (India) Ltd,BABAFP,"Agro Products","92.815601055","20.2","4.38","3.01","32.67","68.12",,"42.78","0","29.369999999999997","25","11.700000000000003","0.4","43.120000000000005"
Tera Software Ltd,TERASOFT,"IT Services & Consulting","92.56285125","91.46","20.29","0","33.46","207.32000000000002",,"170.35000000000002","0","87.93","112.47999999999999","5.38","-2.67","94.84000000000003"
Keerthi Industries Ltd,KEERTHI,"Cement","92.39290545","55.59","4.66","0","60.589999999999996","174.40000000000003",,"44.120000000000005","0","64.03","63.61","44.72999999999999","15.51","110.79000000000005"
United Cotfab Ltd,COTFAB,"Textiles","92.1384","1.8699999999999999","0","0","47.51","81.69",,"34.510000000000005","0","24.86","13.889999999999999","40","7.48","67.8"
Filtra Consultants and Engineers Ltd,FILTRA,"Trading Companies & Distributors","92.0976","15.51","7.57","0","0","39.04",,"34.74","0","14.72","23.73","0","2.76","15.309999999999999"
Murae Organisor Ltd,MURAE,"Pharmaceuticals","92.018733312","4.2","0.03","0","8.74","28.58",,"28.11","0","9.870000000000001","18.71","0","0.26","9.869999999999996"
Joindre Capital Services Ltd,JOINDRE,"Investment Banking & Brokerage","91.8049121","58.51","108.56","9.44","14.799999999999999","173.81",,"149.28","1.73","99.82000000000001","72.35","1.02","12.81","101.46000000000002"
Ambar Protein Industries Ltd,AMBARPIL,"Agro Products","91.74125","19.32","1.15","0.02","25.509999999999998","61.38",,"40.620000000000005","0","33.519999999999996","25.07","0.46000000000000063","6.97","36.31"
Kaizen Agro Infrabuild Ltd,KAIZENAGRO,"Construction & Engineering","91.2614262","2.450000000000003","25.200000000000003","50","0","116.25",,"59.07","0","1.3","114.94","0","8.31","1.3100000000000052"
Madhucon Projects Ltd,MADHUCON,"Construction & Engineering","91.21054584","-2220.03","82.38","0.55","4010.62","4109.74",,"2488.45","0","4527.4800000000005","-2357.19","1663.67","-241.41","6466.93"
Futuristic Solutions Ltd,FUTSOL,"Diversified Financials","91.066621665","4.85","6.67","0.99","0","16.97",,"15.91","0","1.65","15.32","0","0.55","1.65"
Kemistar Corporation Ltd,KEMISTAR,"Commodity Chemicals","91.02459168","6.77","1.7999999999999998","0","2.79","24.130000000000003",,"7.08","0.11","4.59","17.53","2.01","2.97","6.6"
Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,"Equity","90.884969692",,,,,,,,,,,,,
Raminfo Ltd,RAMINFO,"Software Services","90.8112786","29.06","47.7","1.13","10.87","140.37000000000003",,"109.29000000000002","0.67","68.13000000000001","61.19","10.42","15.97","79.18000000000004"
Manoj Ceramic Ltd,MCPL,"Building Products","90.79893","8.86","1.23","0","57.440000000000005","104.82999999999998",,"96.26999999999998","0","46.45","30.78","27.35","-12.59","74.04999999999998"
Aro Granite Industries Ltd,AROGRANITE,"Building Products - Granite","90.5913","172.65","8.959999999999999","0.58","188.75","444.58000000000004",,"292.39","0","190.5","192.02","46.41","35.03","252.56"
Le Lavoir Ltd,LELAVOIR,,"90.5742","2.68","0.56","0","0","7.85",,"4.75","0","1.93","5.92","0","1.28","1.93"
Banas Finance Ltd,BANASFN,"Specialized Finance","90.47344973","32.980000000000004","7.17","111.9","6.05","167.47",,"24.409999999999997","0","6.179999999999999","155.84","0","-5.51","11.629999999999999"
Krypton Industries Ltd,KRYPTONQ,"Tires & Rubber","90.43144089","12.59","1.79","0.16","14.99","53.540000000000006",,"33.660000000000004","0","13.53","30.88","7.38","-0.4","22.66000000000001"
Karma Energy Ltd,KARMAENG,"Renewable Energy","90.41890917","26.87","0.09","12.54","1.08","50.05000000000001",,"12.93","0","5.82","38.44","0.91","4.43","11.610000000000014"
Makers Laboratories Ltd,MAKERSL,"Pharmaceuticals","90.2757528","42.66","5.04","0.12","22.130000000000003","161.25",,"69.78999999999999","0.63","37.18","104.34","10.67","0.84","56.91"
Acme Resources Ltd,ACME,"Diversified Financials","90.258464","61.82","0.87","30.09","11.31","141.38",,"21.55","0","5.17","125.63","10.56","-8.22","15.75000000000001"
Krishna Ventures Ltd,KRISHNA,"Real Estate","89.8884","0.51","0.31","0","0","15.91",,"7.97","0","0.76","11.46","0","0.12","4.45"
F Mec International Financial Services Ltd,FMEC,"Consumer Finance","89.824640336","1.35","1.19","0","2.1","14.959999999999999",,"1.52","0","0.59","12.27","2.1","-9.07","2.69"
Service Care Ltd,SERVICE,"Employment Services","89.803285","22.2","5.43","19.73","0","54.86999999999999",,"31.849999999999998","0.57","21.17","33.7","0","5.7","21.169999999999987"
SVP Global Textiles Ltd,SVPGLOB,"Textiles","89.6885","-409.45000000000005","11.35","8.15","2554.89","3793.2200000000003",,"1824.17","0","1477.94","692.3999999999999","1616.8799999999999","-316.77","3100.8200000000006"
Luharuka Media & Infra Ltd,LUHARUKA,"Real Estate","89.40888","5.09","1.25","0","0.88","16.57",,"6.67","0","1.13","15.44","0","-2.51","1.13"
Gujarat Hotels Ltd,GUJHOTE,"Hotels, Resorts & Cruise Lines","89.385354","40.35","43.45","0","0","46.78",,"45.14","0.76","0.9099999999999997","44.14","0","2.88","2.6399999999999997"
Mahickra Chemicals Ltd,MAHICKRA,"Specialty Chemicals","89.34376","14.000000000000002","0.05","0.05","10.08","64.60999999999999",,"59.17999999999999","0.53","30.939999999999994","32.49","0.9599999999999993","2.28","32.119999999999976"
GACM Technologies Ltd,GATECH,"Stock Exchanges & Ratings","89.155208934","-62.5","1.05","0","8.85","18.45",,"9.87","0","2.46","7.1299999999999955","8.85","-3.45","11.320000000000004"
Nrb Industrial Bearings Ltd,NIBL,"Industrial Machinery","88.99917745","-109.65","0.34","0.8","50.96","106.67000000000002",,"42.39000000000001","0","77.36","22.939999999999998","4.61","3.78","83.73000000000002"
Agro Phos (India) Ltd,AGROPHOS,"Fertilizers & Agro Chemicals","88.94254250499999","24.71","2.81","0.34","27.05","130.2",,"104.58","0","73.7","52.04","1.1900000000000004","-6.48","78.15999999999998"
Pressure Sensitive Systems (India) Ltd,PRESSURS,"Electrical Components & Equipments","88.868838","34.41","0.14","2","0","51.870000000000005",,"41.49","0","2.51","49.239999999999995","0","-0.3","2.630000000000007"
Mishka Exim Ltd,MISHKA,"Commodities Trading","88.8675","7.17","0.12","16.65","0.03","23.759999999999998",,"4.890000000000001","0","0.11000000000000007","21.88","0","0.06","1.8799999999999986"
Marshall Machines Ltd,MARSHALL,"Industrial Machinery","88.840823589","7.939999999999998","0.42","0","38.4","156.31",,"94.18","0","65.17999999999999","76.02","13.44","-12.48","80.28999999999999"
Tree House Education and Accessories Ltd,TREEHOUSE,"Education Services","88.767898952","-294.39","0","12.67","0.02","212.81000000000003",,"21.520000000000003","0","4.489999999999998","208.2","0","-0.83","4.6100000000000465"
The Victoria Mills Ltd,VICTMILL,"Real Estate","88.7044928","62.29","31.02","2.88","0","80.03",,"75.51","0.49","14.62","63.28","0","-16.8","16.750000000000007"
NAM Securities Ltd,NAM,"Investment Banking & Brokerage","88.61752","3.6099999999999994","1.58","0","0","12.14",,"11.49","0","1.0499999999999998","10.989999999999998","0","-2.04","1.1500000000000015"
Dharni Capital Services Ltd,DHARNI,"Asset Management & Custody Banks","88.6095","5.07","4.81","2.59","0","19.159999999999997",,"9.61","0","1.87","17.31","0","3.5","1.849999999999997"
Deem Roll Tech Ltd,DEEM,"Iron & Steel","88.50014227999999","46.05","24.08","0","22.47","134.08999999999997",,"97.77","0","43.660000000000004","84.25999999999999","2.2999999999999985","-3.62","49.82999999999998"
ARCL Organics Ltd,ARCL,"Commodity Chemicals","88.4","46.269999999999996","15.06","0.04","29.150000000000002","157.25",,"93.42","0","68.38000000000001","65.5","17.83","12.82","91.74999999999999"
Mirae Asset NYSE FANG+ ETF,MAFANG,"Equity","88.390709484",,,,,,,,,,,,,
Shivam Chemicals Ltd,SHIVAM,"Trading Companies & Distributors","88.281439","2.66","0.36","0","17.03","40.96",,"25.19","0","20.66","15.06","4.930000000000001","4.64","25.9"
Slone Infosystems Ltd,SLONE,"Technology Hardware","87.9925171","0.26","0.17","0","2.74","11.91",,"10.91","0","7.06","2.1100000000000003","2.74","1.11","9.8"
IFL Enterprises Ltd,IFL,"Textiles","87.957932426","0.61","1.02","0","0.34","28.890000000000004",,"27.200000000000003","0.23","3.02","25.62","0.26","-1.95","3.2700000000000022"
Nova Iron and Steel Ltd,NOVIS,"Iron & Steel","87.85509532799999","-191.59","2.74","2.62","397.84000000000003","295.49",,"76.50999999999999","0","127.07000000000001","-155.45","319.58000000000004","-10.45","450.94"
Akiko Global Services Ltd,AKIKO,"Investment Banking & Brokerage","87.556848","5.74","1.01","0","0.96","11.32",,"10.64","0","4.42","5.78","0.96","0.53","5.539999999999999"
SPP Polymer Ltd,SPPPOLY,,"87.4987446","13.47","0.08","0","18.98","70.92",,"44.64","0","37.11","25.33","8.48","4.6","45.59"
Perfectpac Ltd,PERFEPA,"Packaging","87.1395575","32.69","1.78","0","0.8699999999999999","46.67",,"28.01","0.67","9.989999999999998","35.019999999999996","0.6599999999999999","8.62","11.650000000000006"
Reliable Data Services Ltd,RELIABLE,"Outsourced services","87.03888","20.72","7.15","2.81","38.120000000000005","122.84",,"73.45","0.02","46.28","59.489999999999995","11.760000000000002","-0.29","63.35"
Aditya BSL Nifty Bank ETF,ABSLBANETF,"Equity","86.96789971",,,,,,,,,,,,,
Radiowalla Network Ltd,RADIOWALLA,"Radio","86.6933028","-11.58","0.02","0","1.05","8.119999999999997",,"5.579999999999999","0","3.83","3.3499999999999996","0.38","1.11","4.769999999999999"
Jeevan Scientific Technology Ltd,JSTL,"Labs & Life Sciences Services","86.56536228","12.570000000000004","0.54","0","13.41","67.86999999999999",,"24.669999999999998","0","9.21","48.63000000000001","9.620000000000001","2.89","19.239999999999988"
AmpVolts Ltd,AMPVOLTS,,"86.456","-8.77","6.63","0.02","0.06","18.59",,"12.72","0","1.3","17.23","0.049999999999999996","-2.71","1.36"
ICICI Prudential S&P BSE Liquid Rate ETF,LIQUIDIETF,"Equity","86.396236029",,,,,,,,,,,,,
Lead Reclaim and Rubber Products Ltd,LRRPL,"Tires & Rubber","86.338098","-0.2999999999999998","1.24","0","4.16","18.9",,"12.36","0","6.69","11.18","1.0299999999999996","-0.47","7.72"
Amrapali Industries Ltd,AMRAPLIN,"Commodities Trading","86.318336956","5.66","0.9","0.21","62.97","171.39999999999998",,"138.57","0","136.82","31.37","0","5.21","140.02999999999997"
Everlon Financials Ltd,EVERFIN,"Textiles","86.18","11.6","0.05","0","0","19.73",,"18.38","0","0.27","19.45","0","-1.4","0.2800000000000016"
Achyut Healthcare Ltd,ACHYUT,"Health Care Distributors","85.81005","0.7599999999999998","0.37","0","0","30.939999999999998",,"21.47","0","0.2","30.759999999999998","0","-0.36","0.18000000000000044"
Dhanalaxmi Roto Spinners Ltd,DHANROTO,"Trading Companies & Distributors","85.650588","45.05","44.33","0.77","1.3800000000000001","80.69",,"75.61","0.49","30.840000000000003","48.949999999999996","0.6","23.1","31.74"
NCL Research and Financial Services Ltd,NCLRESE,"Diversified Financials","85.62624","3.7","0.83","19.72","0","113.24000000000001",,"32.93","0","2.49","110.73","0","-20.21","2.5100000000000104"
Cranes Software International Ltd,CRANESSOFT,"Application Software","85.551917675","-1114.06","0.59","0","758.6600000000001","13.399999999999938",,"12.190000000000001","0","900.36","-887.53","0.160000000000025","-18.36","900.9299999999998"
