Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Focus Business Solution Ltd,FOCUS,"Diversified Support Services","43.6962","0.59","1.07","0","1.02","6.660000000000001",,"5.470000000000001","0","1.04","4.59","1.02","-1.03","2.0700000000000007"
USG Tech Solutions Ltd,USGTECH,"IT Consulting & Other Services","43.51328784","-1.85","0.24","1.28","3.3","42.220000000000006",,"7.0200000000000005","0","0.29000000000000004","38.599999999999994","3.3","1.24","3.620000000000014"
Dhyaani Tradeventtures Ltd,DHYAANITR,"Trading Companies & Distributors","43.479296","0.69","0.11","0","3.03","37.510000000000005",,"30.970000000000002","0","29.52","4.949999999999999","3.03","-4.43","32.56"
Veritaas Advertising Ltd,VERITAAS,"Advertising","43.33305","0.81","0.34","0","1.34","5.31",,"4.529999999999999","0","3.9699999999999998","0.9","0.44000000000000006","0.38","4.409999999999999"
Unick Fix-A-Form And Printers Ltd,UNICK,"Packaging","43.2218","25.669999999999998","3.86","0.13","19.89","72.5",,"33.07","0","31.12","31.549999999999997","6.260000000000001","2.44","40.95000000000001"
Smart Finsec Ltd,SMARTFIN,,"43.05","9.14","0.09","1.06","1.4","13.599999999999998",,"9.95","0","0.05","12.14","1.4","-0.5","1.459999999999998"
Nippon India Silver ETF,SILVERBEES,"Equity","43.024297066",,,,,,,,,,,,,
Standard Batteries Ltd,STDBAT,"Diversified Financials","42.99273325","-12.13","0.5800000000000001","0.16","0","1.71",,"1.02","0","1.08","0.6399999999999988","0","-0.16","1.0700000000000012"
J Taparia Projects Ltd,JTAPARIA,"Textiles","42.8814","-6.59","0.04","0","0","12.16",,"3.1","0","2.55","9.61","0","-0.73","2.55"
Cochin Malabar Estates and Industries Ltd,COCHMAL,,"42.694123260000005","-4.7","0.91","0","4.83","2.04",,"0.9500000000000001","0","4.970000000000001","-2.93","0","1.1","4.970000000000001"
Sanginita Chemicals Ltd,SANGINITA,"Commodity Chemicals","42.6857544","17.330000000000002","0.02","0","32.86","85.92999999999999",,"78.07","0","42.25","40.8","2.78","-2.3","45.12999999999999"
Sunil Agro Foods Ltd,SUNILAGR,"Agricultural Products & Services","42.64118","11.81","0.55","0.3","38.72","89.63",,"70.63","0","68.71000000000001","16.990000000000002","2.320000000000002","4.36","72.64"
Patspin India Ltd,PATSPINLTD,"Textiles","42.63868","-79.97","0.25","0","73.35","88.41000000000001",,"8.430000000000001","0","55.23","-23.86","53.35","7.29","112.27000000000001"
Yug Decor Ltd,YUG,"Specialty Chemicals","42.61761255","0.83","0.01","0","2.1","14.810000000000002",,"12.160000000000002","0.72","5.28","8.02","1.07","1.93","6.790000000000003"
