Name,Ticker,"Sub-Sector","Market Cap","Close Price","1W Return","1M Return","6M Return","1Y Return","1W Change in Volume","1M Average Volume","3M Average Volume","1W Return vs Nifty","1M Return vs Nifty","6M Return vs Nifty","1Y Return vs Nifty","% Away From 52W High","% Away From 52W Low","5Y CAGR"
Protean eGov Technologies Ltd,PROTEAN,"IT Consulting & Other Services","8269.326446160001","2043.6","-1.869544131910764","5.308490983371932","88.28081813156437","131.43827859569646","-3.274859532209591","471102.7916666667","719256.7384615385","-3.7119540731390446","1.900337738719592","73.21963213429383","105.39063613271225","8.87649246427873","163.69032258064516",
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","8249.66448657","3369.9","-0.5073746312684312","-0.2144938684338989","32.04937304075236","96.87445229888415","-9.853034790069469","76776.16666666667","59025.692307692305","-2.349784572496712","-3.622647113086239","16.988187043481815","70.82680983589994","4.601026736698399","117.26572321975439",
Ujjivan Small Finance Bank Ltd,UJJIVANSFB,"Private Banks","8239.62487518","42.6","0.49237983587339007","1.5158692562766476","-9.458023379383626","-13.149847094801215","-26.04374883240669","11523689.166666666","16345600.546875","-1.3500301053548909","-1.8922839883756926","-24.519209376654167","-39.197489557785424","47.887323943661976","6.499999999999995",
RattanIndia Power Ltd,RTNPOWER,"Power Generation","8237.74238924","15.34","-2.2741629816803504","0.129449838187711","87.07317073170732","113.05555555555556","26.819486145054046","17001938.5","25589628.861538462","-4.116572922908631","-3.278703406464629","72.01198473443678","87.00791309257134","37.54889178617993","145.44000000000003","56.19541562661463"
Mahindra Lifespace Developers Ltd,MAHLIFE,"Real Estate","8226.284124","530","-3.7099946361523335","-8.867078433031574","-2.779051637164079","-6.525573192239859","52.25357544328933","187884.66666666666","271292.23076923075","-5.5524045773806145","-12.275231677683914","-17.840237634434622","-32.57321565522407","28.075471698113198","11.578947368421044","32.28190132549524"
Laxmi Organic Industries Ltd,LXCHEM,"Specialty Chemicals","8194.591408889999","296.3","-5.735271136115007","9.35460478607687","29.247546346782993","1.9790053347100327","-57.11457065738645","3754878.0416666665","2803738.815384615","-7.577681077343288","5.94645154142453","14.186360349512452","-24.06863712827418","9.854876814039827","34.681818181818194",
TV18 Broadcast Ltd,TV18BRDCST,"TV Channels & Broadcasters","8153.49692096","47.56","0.41220115416322284","5.821025195482189","-7.2904483430799125","2.060085836909873","9.802051006525799","18361949.791666668","14263692.640625","-1.430208787065058","2.412871950829849","-22.351634340350454","-23.987556626074337","44.44911690496216","23.053040103492894","16.565468745939384"
Indo Count Industries Ltd,ICIL,"Textiles","8121.2182117","410.05","0.3663003663003663","6.850383465488112","27.009447111661753","66.85656154628688","5.541864476093953","442932.5833333333","570271.3692307692","-1.4761095749279145","3.442230220835772","11.948261114391212","40.80891908330267","9.901231557127165","90.54368029739778","52.32576306857422"
Balu Forge Industries Ltd,BALUFORGE,"Construction & Engineering","8109.0975805","740.95","-12.04347051487619","28.668230388324215","275.25955938212206","264.1926763332514","67.04327396078418","1191146.1666666667","1250878.646153846","-13.885880456104472","25.260077143671875","260.1983733848515","238.1450338702672","16.94446318914906","379.4241345842769","77.79951397984344"
Electronics Mart India Ltd,EMIL,"Home Electronics & Appliances","8067.796790378","209.69","-1.011494252873558","-10.418573687276355","12.76687281527293","50.36930799569739","89.37970857939405","3403158.625","1701453.4307692307","-2.8539041941018386","-13.826726931928695","-2.2943131819976124","24.32166553271318","24.94634937288378","56.485074626865675",
